quarter,department,day,team,targeted_productivity,smv,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,productivity_met
Quarter1,finishing,Thursday,8,0.75,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,finishing,Thursday,4,0.75,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',0
Quarter1,finishing,Thursday,7,0.8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,sweing,Thursday,4,0.65,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',0
Quarter1,finishing,Thursday,11,0.7,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(8.5-17.5]\'',0
Quarter1,finishing,Saturday,4,0.8,'\'(4.01-4.45]\'','\'(5730-6630]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,finishing,Saturday,11,0.75,'\'(-inf-3.92]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(8.5-17.5]\'',1
Quarter1,finishing,Saturday,9,0.8,'\'(4.01-4.45]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,finishing,Saturday,3,0.75,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,finishing,Saturday,1,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,sweing,Saturday,1,0.8,'\'(26.41-29.75]\'','\'(5730-6630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Saturday,3,0.8,'\'(26.41-29.75]\'','\'(5730-6630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Saturday,8,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,sweing,Saturday,12,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,sweing,Saturday,11,0.8,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,sweing,Saturday,5,0.8,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,sweing,Saturday,6,0.8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Saturday,7,0.8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Saturday,10,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,finishing,Saturday,2,0.8,'\'(4.01-4.45]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,sweing,Saturday,2,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,finishing,Saturday,10,0.7,'\'(4.01-4.45]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,sweing,Saturday,4,0.7,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,sweing,Saturday,9,0.7,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(56.75-57.75]\'',0
Quarter1,finishing,Saturday,8,0.8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,finishing,Saturday,7,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,finishing,Sunday,3,0.75,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,finishing,Sunday,9,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,finishing,Sunday,1,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,sweing,Sunday,6,0.8,'\'(11.51-18.505]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,finishing,Sunday,4,0.8,'\'(3.92-4.01]\'','\'(5730-6630]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,sweing,Sunday,9,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,sweing,Sunday,7,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Sunday,8,0.8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Sunday,4,0.8,'\'(26.41-29.75]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Sunday,1,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,sweing,Sunday,2,0.8,'\'(26.41-29.75]\'','\'(6630-6870]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Sunday,12,0.8,'\'(11.51-18.505]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,finishing,Sunday,2,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,finishing,Sunday,10,0.7,'\'(3.92-4.01]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,sweing,Sunday,11,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Sunday,3,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Sunday,10,0.7,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(56.75-57.75]\'',0
Quarter1,finishing,Sunday,8,0.8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,finishing,Sunday,7,0.8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,sweing,Sunday,5,0.7,'\'(29.75-inf)\'','\'(6870-6997.5]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',0
Quarter1,finishing,Sunday,11,0.75,'\'(4.01-4.45]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,finishing,Monday,1,0.8,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,finishing,Monday,11,0.8,'\'(3.92-4.01]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(8.5-17.5]\'',1
Quarter1,finishing,Monday,4,0.8,'\'(3.92-4.01]\'','\'(3375-4110]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(8.5-17.5]\'',1
Quarter1,finishing,Monday,3,0.75,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,sweing,Monday,9,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,finishing,Monday,9,0.8,'\'(-inf-3.92]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,finishing,Monday,2,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,sweing,Monday,7,0.8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Monday,8,0.8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Monday,1,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,sweing,Monday,11,0.8,'\'(18.505-22.19]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Monday,6,0.8,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,sweing,Monday,12,0.8,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,sweing,Monday,2,0.8,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(56.75-57.75]\'',1
Quarter1,sweing,Monday,4,0.8,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(56.75-57.75]\'',1
Quarter1,finishing,Monday,10,0.75,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,finishing,Monday,5,0.6,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,sweing,Monday,10,0.75,'\'(26.41-29.75]\'','\'(6997.5-9630]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,sweing,Monday,3,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,finishing,Monday,7,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,finishing,Monday,8,0.8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,sweing,Monday,5,0.6,'\'(18.505-22.19]\'','\'(6870-6997.5]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,finishing,Tuesday,4,0.8,'\'(3.92-4.01]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,finishing,Tuesday,1,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,finishing,Tuesday,3,0.75,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(8.5-17.5]\'',1
Quarter1,finishing,Tuesday,11,0.8,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(8.5-17.5]\'',1
Quarter1,finishing,Tuesday,9,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,sweing,Tuesday,1,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,sweing,Tuesday,9,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,finishing,Tuesday,10,0.75,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,finishing,Tuesday,2,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,sweing,Tuesday,2,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(56.75-57.75]\'',1
Quarter1,sweing,Tuesday,4,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(56.75-57.75]\'',1
Quarter1,sweing,Tuesday,3,0.8,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Tuesday,12,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,sweing,Tuesday,7,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Tuesday,8,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Tuesday,6,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,sweing,Tuesday,10,0.75,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,sweing,Tuesday,11,0.75,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,finishing,Tuesday,8,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,sweing,Tuesday,5,0.65,'\'(18.505-22.19]\'','\'(10290-inf)\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',0
Quarter1,finishing,Tuesday,7,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,finishing,Wednesday,1,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,finishing,Wednesday,9,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,sweing,Wednesday,1,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,sweing,Wednesday,9,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,sweing,Wednesday,8,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,finishing,Wednesday,3,0.75,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(8.5-17.5]\'',1
Quarter1,finishing,Wednesday,4,0.8,'\'(3.92-4.01]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,finishing,Wednesday,2,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,finishing,Wednesday,10,0.75,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,finishing,Wednesday,7,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,sweing,Wednesday,2,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(56.75-57.75]\'',1
Quarter1,sweing,Wednesday,4,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(56.75-57.75]\'',1
Quarter1,sweing,Wednesday,6,0.8,'\'(4.45-11.51]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,sweing,Wednesday,3,0.8,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Wednesday,12,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,sweing,Wednesday,7,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Wednesday,10,0.75,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,sweing,Wednesday,5,0.7,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,finishing,Wednesday,8,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter1,finishing,Wednesday,6,0.8,'\'(-inf-3.92]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(8.5-17.5]\'',0
Quarter1,sweing,Wednesday,11,0.8,'\'(29.75-inf)\'','\'(9630-10290]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',0
Quarter1,finishing,Wednesday,5,0.7,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',0
Quarter2,finishing,Thursday,1,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter2,finishing,Thursday,4,0.8,'\'(3.92-4.01]\'','\'(10290-inf)\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter2,sweing,Thursday,9,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter2,finishing,Thursday,9,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter2,sweing,Thursday,1,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter2,sweing,Thursday,4,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
