department,team,targeted_productivity,smv,over_time,incentive,no_of_style_change,no_of_workers,productivity_met
finishing,2,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
sweing,1,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'',0,'\'(57.75-inf)\'',yes
finishing,7,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
sweing,2,0.7,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(39-49.5]\'',1,'\'(17.5-49.5]\'',yes
sweing,7,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'',0,'\'(49.5-56.75]\'',yes
finishing,4,0.75,'\'(4.45-11.51]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
finishing,8,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
finishing,5,0.7,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
sweing,5,0.75,'\'(29.75-inf)\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'',0,'\'(57.75-inf)\'',yes
finishing,12,0.8,'\'(4.45-11.51]\'','\'(3375-4110]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',no
finishing,2,0.75,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
sweing,12,0.8,'\'(11.51-18.505]\'','\'(3375-4110]\'','\'(49.5-62.5]\'',0,'\'(17.5-49.5]\'',yes
sweing,9,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(10.5-39]\'',0,'\'(49.5-56.75]\'',yes
sweing,9,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'',0,'\'(49.5-56.75]\'',yes
sweing,4,0.75,'\'(29.75-inf)\'','\'(6997.5-9630]\'','\'(39-49.5]\'',1,'\'(57.75-inf)\'',yes
finishing,1,0.8,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
sweing,11,0.8,'\'(4.45-11.51]\'','\'(3375-4110]\'','\'(49.5-62.5]\'',0,'\'(57.75-inf)\'',yes
finishing,7,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
sweing,11,0.8,'\'(11.51-18.505]\'','\'(-inf-930]\'','\'(49.5-62.5]\'',2,'\'(57.75-inf)\'',yes
sweing,7,0.75,'\'(29.75-inf)\'','\'(2220-3375]\'','\'(39-49.5]\'',1,'\'(57.75-inf)\'',yes
sweing,5,0.7,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(10.5-39]\'',1,'\'(57.75-inf)\'',no
sweing,10,0.8,'\'(22.19-22.735]\'','\'(6630-6870]\'','\'(62.5-inf)\'',0,'\'(49.5-56.75]\'',yes
sweing,8,0.7,'\'(29.75-inf)\'','\'(5730-6630]\'','\'(-inf-10.5]\'',0,'\'(49.5-56.75]\'',no
sweing,2,0.7,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'',0,'\'(56.75-57.75]\'',yes
finishing,11,0.8,'\'(-inf-3.92]\'','\'(-inf-930]\'','\'(62.5-inf)\'',0,'\'(-inf-8.5]\'',yes
sweing,12,0.8,'\'(11.51-18.505]\'','\'(-inf-930]\'','\'(10.5-39]\'',0,'\'(17.5-49.5]\'',yes
sweing,11,0.6,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(10.5-39]\'',0,'\'(49.5-56.75]\'',yes
finishing,1,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
sweing,7,0.7,'\'(29.75-inf)\'','\'(6997.5-9630]\'','\'(-inf-10.5]\'',1,'\'(57.75-inf)\'',yes
finishing,6,0.75,'\'(-inf-3.92]\'','\'(2220-3375]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
finishing,6,0.8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
sweing,4,0.75,'\'(26.41-29.75]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'',0,'\'(57.75-inf)\'',yes
sweing,8,0.75,'\'(26.41-29.75]\'','\'(5730-6630]\'','\'(49.5-62.5]\'',0,'\'(56.75-57.75]\'',yes
sweing,4,0.7,'\'(29.75-inf)\'','\'(2220-3375]\'','\'(49.5-62.5]\'',1,'\'(56.75-57.75]\'',yes
sweing,8,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'',0,'\'(49.5-56.75]\'',yes
sweing,3,0.8,'\'(22.19-22.735]\'','\'(6630-6870]\'','\'(62.5-inf)\'',0,'\'(56.75-57.75]\'',yes
finishing,9,0.75,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
sweing,6,0.75,'\'(18.505-22.19]\'','\'(3375-4110]\'','\'(39-49.5]\'',0,'\'(17.5-49.5]\'',yes
sweing,9,0.75,'\'(18.505-22.19]\'','\'(4110-5730]\'','\'(39-49.5]\'',0,'\'(49.5-56.75]\'',yes
sweing,8,0.75,'\'(26.41-29.75]\'','\'(6630-6870]\'','\'(49.5-62.5]\'',0,'\'(56.75-57.75]\'',yes
sweing,2,0.65,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(-inf-10.5]\'',1,'\'(17.5-49.5]\'',yes
sweing,4,0.75,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(62.5-inf)\'',0,'\'(56.75-57.75]\'',yes
finishing,2,0.7,'\'(-inf-3.92]\'','\'(1020-1380]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
finishing,11,0.7,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',no
sweing,10,0.7,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(-inf-10.5]\'',2,'\'(49.5-56.75]\'',yes
sweing,5,0.5,'\'(18.505-22.19]\'','\'(6870-6997.5]\'','\'(10.5-39]\'',0,'\'(57.75-inf)\'',yes
sweing,5,0.7,'\'(18.505-22.19]\'','\'(10290-inf)\'','\'(39-49.5]\'',0,'\'(57.75-inf)\'',yes
finishing,6,0.7,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
sweing,7,0.65,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(10.5-39]\'',0,'\'(49.5-56.75]\'',yes
sweing,7,0.7,'\'(22.735-26.41]\'','\'(6870-6997.5]\'','\'(-inf-10.5]\'',0,'\'(57.75-inf)\'',no
finishing,3,0.75,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
sweing,10,0.8,'\'(22.19-22.735]\'','\'(6630-6870]\'','\'(62.5-inf)\'',0,'\'(49.5-56.75]\'',yes
sweing,3,0.8,'\'(26.41-29.75]\'','\'(6630-6870]\'','\'(49.5-62.5]\'',0,'\'(56.75-57.75]\'',yes
sweing,12,0.8,'\'(11.51-18.505]\'','\'(1020-1380]\'','\'(10.5-39]\'',0,'\'(17.5-49.5]\'',yes
sweing,4,0.8,'\'(29.75-inf)\'','\'(-inf-930]\'','\'(49.5-62.5]\'',1,'\'(57.75-inf)\'',yes
sweing,9,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(10.5-39]\'',0,'\'(49.5-56.75]\'',yes
finishing,8,0.65,'\'(4.01-4.45]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
finishing,1,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',no
finishing,11,0.7,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',no
finishing,10,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
sweing,3,0.6,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(10.5-39]\'',0,'\'(49.5-56.75]\'',yes
finishing,10,0.8,'\'(3.92-4.01]\'','\'(1020-1380]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
sweing,5,0.7,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'',0,'\'(57.75-inf)\'',yes
sweing,1,0.8,'\'(22.19-22.735]\'','\'(3375-4110]\'','\'(62.5-inf)\'',0,'\'(56.75-57.75]\'',yes
sweing,10,0.8,'\'(22.19-22.735]\'','\'(6630-6870]\'','\'(62.5-inf)\'',0,'\'(49.5-56.75]\'',yes
sweing,6,0.8,'\'(18.505-22.19]\'','\'(3375-4110]\'','\'(-inf-10.5]\'',0,'\'(17.5-49.5]\'',no
finishing,4,0.75,'\'(4.01-4.45]\'','\'(5730-6630]\'','\'(-inf-10.5]\'',0,'\'(17.5-49.5]\'',yes
finishing,2,0.7,'\'(3.92-4.01]\'','\'(4110-5730]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
sweing,11,0.7,'\'(22.735-26.41]\'','\'(5730-6630]\'','\'(49.5-62.5]\'',0,'\'(49.5-56.75]\'',yes
sweing,4,0.7,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'',0,'\'(57.75-inf)\'',yes
sweing,12,0.8,'\'(11.51-18.505]\'','\'(1500-2220]\'','\'(49.5-62.5]\'',0,'\'(17.5-49.5]\'',yes
finishing,5,0.75,'\'(4.45-11.51]\'','\'(1500-2220]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
finishing,9,0.75,'\'(-inf-3.92]\'','\'(1020-1380]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
finishing,8,0.75,'\'(4.45-11.51]\'','\'(2220-3375]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
finishing,12,0.75,'\'(4.01-4.45]\'','\'(1020-1380]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
finishing,8,0.8,'\'(-inf-3.92]\'','\'(4110-5730]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
sweing,7,0.8,'\'(29.75-inf)\'','\'(6997.5-9630]\'','\'(-inf-10.5]\'',0,'\'(57.75-inf)\'',yes
sweing,1,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'',0,'\'(57.75-inf)\'',yes
sweing,10,0.7,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(10.5-39]\'',0,'\'(49.5-56.75]\'',yes
sweing,9,0.8,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'',0,'\'(57.75-inf)\'',no
sweing,1,0.75,'\'(22.735-26.41]\'','\'(6870-6997.5]\'','\'(62.5-inf)\'',0,'\'(57.75-inf)\'',yes
finishing,10,0.75,'\'(3.92-4.01]\'','\'(3375-4110]\'','\'(-inf-10.5]\'',0,'\'(17.5-49.5]\'',yes
sweing,3,0.75,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'',0,'\'(56.75-57.75]\'',yes
finishing,9,0.8,'\'(3.92-4.01]\'','\'(2220-3375]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',no
finishing,9,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
sweing,7,0.8,'\'(29.75-inf)\'','\'(9630-10290]\'','\'(10.5-39]\'',0,'\'(56.75-57.75]\'',no
finishing,9,0.75,'\'(-inf-3.92]\'','\'(1500-2220]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
sweing,10,0.7,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(62.5-inf)\'',0,'\'(49.5-56.75]\'',yes
finishing,4,0.8,'\'(4.01-4.45]\'','\'(5730-6630]\'','\'(-inf-10.5]\'',0,'\'(17.5-49.5]\'',yes
sweing,4,0.75,'\'(26.41-29.75]\'','\'(6997.5-9630]\'','\'(39-49.5]\'',0,'\'(57.75-inf)\'',yes
sweing,5,0.7,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(10.5-39]\'',1,'\'(57.75-inf)\'',yes
sweing,12,0.8,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'',0,'\'(17.5-49.5]\'',yes
sweing,10,0.7,'\'(18.505-22.19]\'','\'(4110-5730]\'','\'(10.5-39]\'',0,'\'(49.5-56.75]\'',no
sweing,12,0.8,'\'(11.51-18.505]\'','\'(3375-4110]\'','\'(62.5-inf)\'',0,'\'(17.5-49.5]\'',yes
sweing,8,0.6,'\'(22.735-26.41]\'','\'(5730-6630]\'','\'(-inf-10.5]\'',0,'\'(49.5-56.75]\'',no
finishing,3,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
finishing,4,0.75,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
finishing,9,0.75,'\'(-inf-3.92]\'','\'(-inf-930]\'','\'(62.5-inf)\'',0,'\'(8.5-17.5]\'',yes
sweing,10,0.7,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(10.5-39]\'',0,'\'(49.5-56.75]\'',yes
finishing,12,0.8,'\'(4.45-11.51]\'','\'(2220-3375]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',no
sweing,8,0.65,'\'(22.735-26.41]\'','\'(5730-6630]\'','\'(-inf-10.5]\'',0,'\'(49.5-56.75]\'',no
sweing,1,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'',0,'\'(57.75-inf)\'',yes
sweing,11,0.8,'\'(4.45-11.51]\'','\'(3375-4110]\'','\'(49.5-62.5]\'',0,'\'(17.5-49.5]\'',yes
finishing,12,0.8,'\'(4.01-4.45]\'','\'(1020-1380]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
finishing,4,0.7,'\'(4.01-4.45]\'','\'(4110-5730]\'','\'(-inf-10.5]\'',0,'\'(17.5-49.5]\'',yes
sweing,10,0.7,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(10.5-39]\'',0,'\'(49.5-56.75]\'',yes
finishing,1,0.75,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
sweing,4,0.6,'\'(26.41-29.75]\'','\'(6630-6870]\'','\'(10.5-39]\'',0,'\'(56.75-57.75]\'',yes
finishing,1,0.7,'\'(3.92-4.01]\'','\'(10290-inf)\'','\'(-inf-10.5]\'',0,'\'(17.5-49.5]\'',no
finishing,1,0.7,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
finishing,1,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
finishing,3,0.8,'\'(4.45-11.51]\'','\'(2220-3375]\'','\'(-inf-10.5]\'',0,'\'(17.5-49.5]\'',yes
finishing,3,0.75,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
finishing,2,0.7,'\'(3.92-4.01]\'','\'(10290-inf)\'','\'(-inf-10.5]\'',0,'\'(17.5-49.5]\'',no
finishing,5,0.35,'\'(3.92-4.01]\'','\'(2220-3375]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
finishing,12,0.75,'\'(4.01-4.45]\'','\'(1020-1380]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',no
sweing,2,0.8,'\'(22.19-22.735]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'',0,'\'(57.75-inf)\'',yes
sweing,5,0.8,'\'(29.75-inf)\'','\'(-inf-930]\'','\'(-inf-10.5]\'',0,'\'(57.75-inf)\'',yes
finishing,6,0.6,'\'(-inf-3.92]\'','\'(1020-1380]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',no
sweing,5,0.7,'\'(18.505-22.19]\'','\'(10290-inf)\'','\'(-inf-10.5]\'',0,'\'(57.75-inf)\'',yes
sweing,8,0.65,'\'(29.75-inf)\'','\'(6630-6870]\'','\'(10.5-39]\'',1,'\'(49.5-56.75]\'',yes
sweing,2,0.75,'\'(22.19-22.735]\'','\'(6630-6870]\'','\'(62.5-inf)\'',0,'\'(56.75-57.75]\'',yes
sweing,1,0.65,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'',0,'\'(56.75-57.75]\'',yes
sweing,5,0.75,'\'(18.505-22.19]\'','\'(10290-inf)\'','\'(49.5-62.5]\'',0,'\'(57.75-inf)\'',yes
sweing,11,0.75,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(39-49.5]\'',0,'\'(49.5-56.75]\'',yes
sweing,6,0.75,'\'(18.505-22.19]\'','\'(2220-3375]\'','\'(-inf-10.5]\'',0,'\'(17.5-49.5]\'',yes
sweing,12,0.8,'\'(11.51-18.505]\'','\'(3375-4110]\'','\'(62.5-inf)\'',0,'\'(17.5-49.5]\'',yes
sweing,6,0.8,'\'(4.45-11.51]\'','\'(4110-5730]\'','\'(62.5-inf)\'',0,'\'(17.5-49.5]\'',yes
finishing,5,0.7,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
sweing,6,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(49.5-62.5]\'',0,'\'(17.5-49.5]\'',yes
sweing,8,0.8,'\'(22.735-26.41]\'','\'(3375-4110]\'','\'(49.5-62.5]\'',0,'\'(49.5-56.75]\'',yes
finishing,3,0.75,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
sweing,7,0.65,'\'(29.75-inf)\'','\'(6630-6870]\'','\'(10.5-39]\'',1,'\'(56.75-57.75]\'',yes
finishing,3,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
finishing,5,0.6,'\'(3.92-4.01]\'','\'(-inf-930]\'','\'(62.5-inf)\'',0,'\'(8.5-17.5]\'',yes
sweing,4,0.75,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(62.5-inf)\'',0,'\'(56.75-57.75]\'',yes
finishing,3,0.75,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
sweing,2,0.8,'\'(22.19-22.735]\'','\'(-inf-930]\'','\'(62.5-inf)\'',0,'\'(56.75-57.75]\'',yes
sweing,11,0.7,'\'(4.45-11.51]\'','\'(5730-6630]\'','\'(49.5-62.5]\'',0,'\'(49.5-56.75]\'',yes
sweing,1,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'',0,'\'(57.75-inf)\'',yes
sweing,1,0.75,'\'(22.735-26.41]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'',0,'\'(57.75-inf)\'',yes
sweing,8,0.7,'\'(29.75-inf)\'','\'(4110-5730]\'','\'(-inf-10.5]\'',1,'\'(57.75-inf)\'',yes
finishing,10,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
sweing,4,0.8,'\'(29.75-inf)\'','\'(6997.5-9630]\'','\'(10.5-39]\'',1,'\'(57.75-inf)\'',yes
finishing,4,0.8,'\'(3.92-4.01]\'','\'(10290-inf)\'','\'(-inf-10.5]\'',0,'\'(17.5-49.5]\'',yes
finishing,4,0.8,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',no
sweing,12,0.8,'\'(11.51-18.505]\'','\'(3375-4110]\'','\'(62.5-inf)\'',0,'\'(17.5-49.5]\'',yes
sweing,1,0.8,'\'(22.19-22.735]\'','\'(-inf-930]\'','\'(62.5-inf)\'',0,'\'(56.75-57.75]\'',yes
finishing,10,0.8,'\'(3.92-4.01]\'','\'(2220-3375]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',no
sweing,4,0.8,'\'(22.19-22.735]\'','\'(6870-6997.5]\'','\'(62.5-inf)\'',0,'\'(56.75-57.75]\'',yes
sweing,7,0.5,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(10.5-39]\'',0,'\'(49.5-56.75]\'',yes
sweing,4,0.75,'\'(26.41-29.75]\'','\'(5730-6630]\'','\'(62.5-inf)\'',0,'\'(57.75-inf)\'',yes
finishing,9,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
sweing,4,0.5,'\'(29.75-inf)\'','\'(5730-6630]\'','\'(10.5-39]\'',1,'\'(49.5-56.75]\'',yes
sweing,10,0.8,'\'(22.19-22.735]\'','\'(6630-6870]\'','\'(62.5-inf)\'',0,'\'(49.5-56.75]\'',yes
sweing,11,0.8,'\'(11.51-18.505]\'','\'(-inf-930]\'','\'(49.5-62.5]\'',0,'\'(56.75-57.75]\'',yes
finishing,8,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
sweing,12,0.75,'\'(11.51-18.505]\'','\'(1380-1500]\'','\'(39-49.5]\'',0,'\'(17.5-49.5]\'',yes
sweing,11,0.7,'\'(11.51-18.505]\'','\'(9630-10290]\'','\'(49.5-62.5]\'',0,'\'(56.75-57.75]\'',yes
finishing,7,0.65,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
finishing,5,0.8,'\'(4.45-11.51]\'','\'(1020-1380]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
sweing,11,0.8,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'',0,'\'(17.5-49.5]\'',yes
sweing,1,0.7,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(62.5-inf)\'',0,'\'(56.75-57.75]\'',yes
finishing,7,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
finishing,1,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
sweing,6,0.7,'\'(18.505-22.19]\'','\'(2220-3375]\'','\'(10.5-39]\'',0,'\'(17.5-49.5]\'',yes
sweing,3,0.7,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(49.5-62.5]\'',0,'\'(49.5-56.75]\'',yes
finishing,4,0.35,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
sweing,1,0.7,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'',0,'\'(56.75-57.75]\'',yes
sweing,8,0.6,'\'(26.41-29.75]\'','\'(-inf-930]\'','\'(10.5-39]\'',2,'\'(57.75-inf)\'',yes
finishing,12,0.75,'\'(4.01-4.45]\'','\'(1020-1380]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
sweing,10,0.7,'\'(18.505-22.19]\'','\'(4110-5730]\'','\'(10.5-39]\'',0,'\'(49.5-56.75]\'',yes
finishing,8,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
finishing,11,0.8,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
finishing,7,0.7,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
sweing,2,0.5,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'',0,'\'(49.5-56.75]\'',no
finishing,7,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
finishing,1,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
