department,day,team,smv,over_time,incentive,idle_time,idle_men,no_of_workers,productivity_met
finishing,Saturday,3,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Saturday,1,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Saturday,1,'\'(26.41-29.75]\'','\'(5730-6630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Saturday,3,'\'(26.41-29.75]\'','\'(5730-6630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Saturday,8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Saturday,12,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Saturday,11,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Saturday,5,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Saturday,6,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Saturday,7,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Saturday,10,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
finishing,Saturday,2,'\'(4.01-4.45]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
sweing,Saturday,2,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
finishing,Saturday,10,'\'(4.01-4.45]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Saturday,4,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Saturday,9,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(56.75-57.75]\'',no
finishing,Saturday,8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
finishing,Saturday,7,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
finishing,Sunday,3,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Sunday,9,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Sunday,1,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Sunday,6,'\'(11.51-18.505]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
finishing,Sunday,4,'\'(3.92-4.01]\'','\'(5730-6630]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Sunday,9,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Sunday,7,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Sunday,8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Sunday,4,'\'(26.41-29.75]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Sunday,1,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Sunday,2,'\'(26.41-29.75]\'','\'(6630-6870]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Sunday,12,'\'(11.51-18.505]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
finishing,Sunday,2,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
finishing,Sunday,10,'\'(3.92-4.01]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Sunday,11,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Sunday,3,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Sunday,10,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(56.75-57.75]\'',no
finishing,Sunday,8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
finishing,Sunday,7,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
sweing,Sunday,5,'\'(29.75-inf)\'','\'(6870-6997.5]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',no
finishing,Sunday,11,'\'(4.01-4.45]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
finishing,Monday,1,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Monday,11,'\'(3.92-4.01]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(8.5-17.5]\'',yes
finishing,Monday,4,'\'(3.92-4.01]\'','\'(3375-4110]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(8.5-17.5]\'',yes
finishing,Monday,3,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Monday,9,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
finishing,Monday,9,'\'(-inf-3.92]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Monday,2,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Monday,7,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Monday,8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Monday,1,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Monday,11,'\'(18.505-22.19]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Monday,6,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Monday,12,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Monday,2,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(56.75-57.75]\'',yes
sweing,Monday,4,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(56.75-57.75]\'',yes
finishing,Monday,10,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Monday,5,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Monday,10,'\'(26.41-29.75]\'','\'(6997.5-9630]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Monday,3,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
finishing,Monday,7,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
finishing,Monday,8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
sweing,Monday,5,'\'(18.505-22.19]\'','\'(6870-6997.5]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
finishing,Tuesday,4,'\'(3.92-4.01]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
finishing,Tuesday,1,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Tuesday,3,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(8.5-17.5]\'',yes
finishing,Tuesday,11,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(8.5-17.5]\'',yes
finishing,Tuesday,9,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Tuesday,1,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Tuesday,9,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
finishing,Tuesday,10,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Tuesday,2,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Tuesday,2,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(56.75-57.75]\'',yes
sweing,Tuesday,4,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(56.75-57.75]\'',yes
sweing,Tuesday,3,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Tuesday,12,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Tuesday,7,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Tuesday,8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Tuesday,6,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Tuesday,10,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Tuesday,11,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
finishing,Tuesday,8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
sweing,Tuesday,5,'\'(18.505-22.19]\'','\'(10290-inf)\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',no
finishing,Tuesday,7,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
finishing,Wednesday,1,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Wednesday,9,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Wednesday,1,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Wednesday,9,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Wednesday,8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
finishing,Wednesday,3,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(8.5-17.5]\'',yes
finishing,Wednesday,4,'\'(3.92-4.01]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
finishing,Wednesday,2,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Wednesday,10,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Wednesday,7,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Wednesday,2,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(56.75-57.75]\'',yes
sweing,Wednesday,4,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(56.75-57.75]\'',yes
sweing,Wednesday,6,'\'(4.45-11.51]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Wednesday,3,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Wednesday,12,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Wednesday,7,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Wednesday,10,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Wednesday,5,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
finishing,Wednesday,8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
finishing,Wednesday,6,'\'(-inf-3.92]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(8.5-17.5]\'',no
sweing,Wednesday,11,'\'(29.75-inf)\'','\'(9630-10290]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',no
finishing,Wednesday,5,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
finishing,Thursday,1,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Thursday,4,'\'(3.92-4.01]\'','\'(10290-inf)\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Thursday,9,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
finishing,Thursday,9,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Thursday,1,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Thursday,4,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Thursday,7,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Thursday,8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
finishing,Thursday,2,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Thursday,5,'\'(4.01-4.45]\'','\'(3375-4110]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Thursday,2,'\'(26.41-29.75]\'','\'(9630-10290]\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
sweing,Thursday,3,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Thursday,12,'\'(11.51-18.505]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Thursday,6,'\'(4.45-11.51]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Thursday,10,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
finishing,Thursday,10,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Thursday,8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
finishing,Thursday,3,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(8.5-17.5]\'',no
finishing,Thursday,7,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
finishing,Thursday,11,'\'(4.01-4.45]\'','\'(-inf-930]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
sweing,Thursday,11,'\'(11.51-18.505]\'','\'(10290-inf)\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',no
sweing,Thursday,5,'\'(29.75-inf)\'','\'(9630-10290]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(56.75-57.75]\'',no
finishing,Saturday,1,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Saturday,3,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(8.5-17.5]\'',yes
