quarter,department,day,targeted_productivity,smv,over_time,incentive,no_of_workers,productivity_met
Quarter1,finishing,Sunday,0.8,'\'(3.92-4.01]\'','\'(5730-6630]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter1,sweing,Sunday,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(57.75-inf)\'',yes
Quarter1,sweing,Sunday,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Sunday,0.8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(39-49.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Sunday,0.8,'\'(26.41-29.75]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Sunday,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter1,sweing,Sunday,0.8,'\'(26.41-29.75]\'','\'(6630-6870]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Sunday,0.8,'\'(11.51-18.505]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter1,finishing,Sunday,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,finishing,Sunday,0.7,'\'(3.92-4.01]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter1,sweing,Sunday,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Sunday,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Sunday,0.7,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(56.75-57.75]\'',no
Quarter1,finishing,Sunday,0.8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,finishing,Sunday,0.8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,sweing,Sunday,0.7,'\'(29.75-inf)\'','\'(6870-6997.5]\'','\'(10.5-39]\'','\'(57.75-inf)\'',no
Quarter1,finishing,Sunday,0.75,'\'(4.01-4.45]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,finishing,Monday,0.8,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,finishing,Monday,0.8,'\'(3.92-4.01]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter1,finishing,Monday,0.8,'\'(3.92-4.01]\'','\'(3375-4110]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter1,finishing,Monday,0.75,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,sweing,Monday,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter1,finishing,Monday,0.8,'\'(-inf-3.92]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,finishing,Monday,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,sweing,Monday,0.8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Monday,0.8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Monday,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter1,sweing,Monday,0.8,'\'(18.505-22.19]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Monday,0.8,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter1,sweing,Monday,0.8,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter1,sweing,Monday,0.8,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'','\'(56.75-57.75]\'',yes
Quarter1,sweing,Monday,0.8,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'','\'(56.75-57.75]\'',yes
Quarter1,finishing,Monday,0.75,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,finishing,Monday,0.6,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,sweing,Monday,0.75,'\'(26.41-29.75]\'','\'(6997.5-9630]\'','\'(39-49.5]\'','\'(57.75-inf)\'',yes
Quarter1,sweing,Monday,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(49.5-56.75]\'',yes
Quarter1,finishing,Monday,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,finishing,Monday,0.8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,sweing,Monday,0.6,'\'(18.505-22.19]\'','\'(6870-6997.5]\'','\'(10.5-39]\'','\'(57.75-inf)\'',yes
Quarter1,finishing,Tuesday,0.8,'\'(3.92-4.01]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter1,finishing,Tuesday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,finishing,Tuesday,0.75,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter1,finishing,Tuesday,0.8,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter1,finishing,Tuesday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,sweing,Tuesday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter1,sweing,Tuesday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter1,finishing,Tuesday,0.75,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,finishing,Tuesday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,sweing,Tuesday,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(56.75-57.75]\'',yes
Quarter1,sweing,Tuesday,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(56.75-57.75]\'',yes
Quarter1,sweing,Tuesday,0.8,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Tuesday,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter1,sweing,Tuesday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Tuesday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Tuesday,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(10.5-39]\'','\'(17.5-49.5]\'',yes
Quarter1,sweing,Tuesday,0.75,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(39-49.5]\'','\'(57.75-inf)\'',yes
Quarter1,sweing,Tuesday,0.75,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(39-49.5]\'','\'(49.5-56.75]\'',yes
Quarter1,finishing,Tuesday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,sweing,Tuesday,0.65,'\'(18.505-22.19]\'','\'(10290-inf)\'','\'(10.5-39]\'','\'(57.75-inf)\'',no
Quarter1,finishing,Tuesday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,finishing,Wednesday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,finishing,Wednesday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,sweing,Wednesday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter1,sweing,Wednesday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter1,sweing,Wednesday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,finishing,Wednesday,0.75,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter1,finishing,Wednesday,0.8,'\'(3.92-4.01]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter1,finishing,Wednesday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,finishing,Wednesday,0.75,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,finishing,Wednesday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,sweing,Wednesday,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(56.75-57.75]\'',yes
Quarter1,sweing,Wednesday,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(56.75-57.75]\'',yes
Quarter1,sweing,Wednesday,0.8,'\'(4.45-11.51]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter1,sweing,Wednesday,0.8,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Wednesday,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter1,sweing,Wednesday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Wednesday,0.75,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter1,sweing,Wednesday,0.7,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(39-49.5]\'','\'(57.75-inf)\'',yes
Quarter1,finishing,Wednesday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,finishing,Wednesday,0.8,'\'(-inf-3.92]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',no
Quarter1,sweing,Wednesday,0.8,'\'(29.75-inf)\'','\'(9630-10290]\'','\'(39-49.5]\'','\'(49.5-56.75]\'',no
Quarter1,finishing,Wednesday,0.7,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,finishing,Thursday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Thursday,0.8,'\'(3.92-4.01]\'','\'(10290-inf)\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter2,sweing,Thursday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,finishing,Thursday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Thursday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Thursday,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Thursday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter2,sweing,Thursday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter2,finishing,Thursday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Thursday,0.7,'\'(4.01-4.45]\'','\'(3375-4110]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Thursday,0.8,'\'(26.41-29.75]\'','\'(9630-10290]\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Thursday,0.8,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter2,sweing,Thursday,0.8,'\'(11.51-18.505]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(17.5-49.5]\'',yes
Quarter2,sweing,Thursday,0.8,'\'(4.45-11.51]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter2,sweing,Thursday,0.75,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,finishing,Thursday,0.75,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Thursday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,finishing,Thursday,0.75,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',no
Quarter2,finishing,Thursday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,finishing,Thursday,0.8,'\'(4.01-4.45]\'','\'(-inf-930]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,sweing,Thursday,0.35,'\'(11.51-18.505]\'','\'(10290-inf)\'','\'(10.5-39]\'','\'(49.5-56.75]\'',no
Quarter2,sweing,Thursday,0.7,'\'(29.75-inf)\'','\'(9630-10290]\'','\'(-inf-10.5]\'','\'(56.75-57.75]\'',no
Quarter2,finishing,Saturday,0.8,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Saturday,0.75,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter2,finishing,Saturday,0.8,'\'(3.92-4.01]\'','\'(5730-6630]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter2,finishing,Saturday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Saturday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Saturday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter2,sweing,Saturday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter2,finishing,Saturday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Saturday,0.8,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Saturday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Saturday,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Saturday,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(56.75-57.75]\'',yes
Quarter2,sweing,Saturday,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter2,sweing,Saturday,0.8,'\'(4.45-11.51]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter2,sweing,Saturday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Saturday,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',no
Quarter2,sweing,Saturday,0.75,'\'(18.505-22.19]\'','\'(6997.5-9630]\'','\'(39-49.5]\'','\'(49.5-56.75]\'',yes
Quarter2,sweing,Saturday,0.5,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter2,finishing,Saturday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,finishing,Saturday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,sweing,Saturday,0.5,'\'(18.505-22.19]\'','\'(6997.5-9630]\'','\'(-inf-10.5]\'','\'(49.5-56.75]\'',no
Quarter2,finishing,Saturday,0.5,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,finishing,Sunday,0.75,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Sunday,0.8,'\'(3.92-4.01]\'','\'(3375-4110]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter2,sweing,Sunday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,finishing,Sunday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Sunday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Sunday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Sunday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(39-49.5]\'','\'(49.5-56.75]\'',yes
Quarter2,sweing,Sunday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter2,finishing,Sunday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Sunday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Sunday,0.8,'\'(4.45-11.51]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter2,sweing,Sunday,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
